Model Size,Task,Classifier,Seed,C,gamma,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
large_multitask_mask_45,order,SVM,2,0.31103255667795526,,linear,,,,,,,,
large_multitask_mask_45,order,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
large_multitask_mask_45,order,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
large_multitask_mask_45,order,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
large_multitask_mask_45,family,SVM,0,1.3116515715358075,,linear,,,,,,,,
large_multitask_mask_45,family,SVM,1,2.2321849928717583,,linear,,,,,,,,
large_multitask_mask_45,family,SVM,2,1.2484030808286068,,linear,,,,,,,,
large_multitask_mask_45,family,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
large_multitask_mask_45,family,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
large_multitask_mask_45,family,LGBM,2,,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137
large_multitask_mask_45,genus,SVM,0,0.44103656679709824,,linear,,,,,,,,
large_multitask_mask_45,genus,SVM,1,0.4944059287398674,,linear,,,,,,,,
