GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G02229WQ,Glc(a1-2)Glc(a1-2)Glc(a1-3)Man(a1-3)Man(a1-2)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2854.96
G02275WJ,Gal(b1-4)Rha(a1-4)D-Ara,Linkage-defined saccharide,458.16
G02282IL,Rha(a1-2)[Man(a1-3)]Glc,Linkage-defined saccharide,488.17
G02284VD,Fuc(a1-2)Ara(a1-3)[Fuc(a1-4)]GlcNAc,Linkage-defined saccharide,645.25
G02324PE,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)GalNAc,Linkage-defined saccharide,773.31
G02340ZJ,Glc(b1-2)Glc(b1-4)Ara,Linkage-defined saccharide,474.16
G02419GE,Xyl(b1-3)Glc(b1-4)Gal,Linkage-defined saccharide,474.16
G02429PO,Gal(a1-2)Gal(b1-4)Glc,Linkage-defined saccharide,504.17
G02452RJ,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,Linkage-defined saccharide,2208.8
G02460TX,Glc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,529.2
G02513HF,Gal(b1-4)GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1478.54
G02482QP,Glc(a1-6)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc,Linkage-defined saccharide,1476.49
G02429WR,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2955.09
G02491SW,Xyl(b1-2)Glc(b1-3)[D-Fuc(b1-2)]Ara,Linkage-defined saccharide,590.21
G02494AF,Glc(b1-3)Fuc(a1-2)Ara,Linkage-defined saccharide,458.16
G02498FK,Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc,Linkage-defined saccharide,828.27
G02582KL,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1364.5
G02524YV,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1154.43
G02556BT,Glc(b1-4)Glc(b1-4)Glc(b1-3)Glc,Linkage-defined saccharide,666.22
G02597EQ,Rha(a1-4)GalA(a1-2)Rha(a1-4)GalA,Linkage-defined saccharide,662.19
G02599VW,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GalNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1015.36
G02642GO,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1056.39
G02600QJ,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[D-Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc,Linkage-defined saccharide,1875.69
G02622YT,Man(b1-3)Glc(a1-4)D-Rha-ol,Linkage-defined saccharide,490.19
G02624IW_2,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2005.72
G02654EL,Gal(b1-4)GlcNAc(b1-4)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2151.78
G02691LI,Gal(a1-3)Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc,Linkage-defined saccharide,828.27
G02732RS,Gal(a1-4)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-2)]Gal,Linkage-defined saccharide,796.28
G02752XX,Man(b1-6)Man(b1-3)[Man(b1-6)Man(b1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(b1-6)]GlcNAc,Linkage-defined saccharide,1380.49
G02757UO,Fuc(a1-2)Gal(b1-4)[Fuc(b1-3)]GlcNAc,Linkage-defined saccharide,675.26
G02700LG,Gal(b1-4)[Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)]Glc(a1-2)Rha,Linkage-defined saccharide,1136.39
G02779AX,Gal(b1-2)[Par(a1-3)]Man(a1-4)Rha,Linkage-defined saccharide,618.24
G02824PK,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,3247.18
